#Reads:	33249
#Bases:	499572611
#Max:	203889
#Min:	1
#Avg:	15025.2
#Median:	10000
#Mode:	3000
#Std_Dev:	14698.6
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
85000	4	0.012%	96	0.289%	341105	0.068%	10005301	2.003%
86000	9	0.027%	92	0.277%	778309	0.156%	9664196	1.934%
87000	2	0.006%	83	0.250%	175409	0.035%	8885887	1.779%
88000	5	0.015%	81	0.244%	442458	0.089%	8710478	1.744%
89000	4	0.012%	76	0.229%	358552	0.072%	8268020	1.655%
90000	6	0.018%	72	0.217%	544003	0.109%	7909468	1.583%
91000	2	0.006%	66	0.199%	182731	0.037%	7365465	1.474%
92000	4	0.012%	64	0.192%	370644	0.074%	7182734	1.438%
93000	3	0.009%	60	0.180%	280375	0.056%	6812090	1.364%
94000	1	0.003%	57	0.171%	94379	0.019%	6531715	1.307%
95000	2	0.006%	56	0.168%	191030	0.038%	6437336	1.289%
96000	3	0.009%	54	0.162%	290105	0.058%	6246306	1.250%
97000	4	0.012%	51	0.153%	389561	0.078%	5956201	1.192%
98000	4	0.012%	47	0.141%	393598	0.079%	5566640	1.114%
99000	2	0.006%	43	0.129%	199232	0.040%	5173042	1.035%
100000	5	0.015%	41	0.123%	503136	0.101%	4973810	0.996%
101000	1	0.003%	36	0.108%	101686	0.020%	4470674	0.895%
102000	3	0.009%	35	0.105%	307699	0.062%	4368988	0.875%
104000	1	0.003%	32	0.096%	104034	0.021%	4061289	0.813%
105000	1	0.003%	31	0.093%	105359	0.021%	3957255	0.792%
106000	1	0.003%	30	0.090%	106275	0.021%	3851896	0.771%
108000	2	0.006%	29	0.087%	217318	0.044%	3745621	0.750%
110000	1	0.003%	27	0.081%	110859	0.022%	3528303	0.706%
111000	1	0.003%	26	0.078%	111897	0.022%	3417444	0.684%
112000	1	0.003%	25	0.075%	112817	0.023%	3305547	0.662%
114000	2	0.006%	24	0.072%	229027	0.046%	3192730	0.639%
115000	1	0.003%	22	0.066%	115107	0.023%	2963703	0.593%
116000	2	0.006%	21	0.063%	232990	0.047%	2848596	0.570%
118000	1	0.003%	19	0.057%	118674	0.024%	2615606	0.524%
119000	2	0.006%	18	0.054%	239657	0.048%	2496932	0.500%
122000	1	0.003%	16	0.048%	122068	0.024%	2257275	0.452%
123000	2	0.006%	15	0.045%	247322	0.050%	2135207	0.427%
125000	2	0.006%	13	0.039%	251187	0.050%	1887885	0.378%
127000	2	0.006%	11	0.033%	255757	0.051%	1636698	0.328%
128000	1	0.003%	9	0.027%	128204	0.026%	1380941	0.276%
132000	1	0.003%	8	0.024%	132492	0.027%	1252737	0.251%
146000	1	0.003%	7	0.021%	146468	0.029%	1120245	0.224%
152000	1	0.003%	6	0.018%	152994	0.031%	973777	0.195%
153000	2	0.006%	5	0.015%	306538	0.061%	820783	0.164%
154000	1	0.003%	3	0.009%	154383	0.031%	514245	0.103%
155000	1	0.003%	2	0.006%	155973	0.031%	359862	0.072%
203000	1	0.003%	1	0.003%	203889	0.041%	203889	0.041%
