#Reads:	96277
#Bases:	994507041
#Max:	297344
#Min:	133
#Avg:	10329.6
#Median:	1000
#Mode:	0
#Std_Dev:	20849.7
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
0	35000	36.353%	96277	100.000%	18939178	1.904%	994507041	100.000%
1000	17154	17.817%	61277	63.647%	24394752	2.453%	975567863	98.096%
2000	7582	7.875%	44123	45.829%	18598114	1.870%	951173111	95.643%
3000	4518	4.693%	36541	37.954%	15625658	1.571%	932574997	93.773%
4000	3038	3.155%	32023	33.261%	13564496	1.364%	916949339	92.201%
5000	2239	2.326%	28985	30.106%	12269601	1.234%	903384843	90.837%
6000	1697	1.763%	26746	27.780%	11014130	1.107%	891115242	89.604%
7000	1425	1.480%	25049	26.018%	10665808	1.072%	880101112	88.496%
8000	1189	1.235%	23624	24.538%	10082453	1.014%	869435304	87.424%
9000	1009	1.048%	22435	23.303%	9562429	0.962%	859352851	86.410%
10000	947	0.984%	21426	22.255%	9935073	0.999%	849790422	85.448%
11000	812	0.843%	20479	21.271%	9324058	0.938%	839855349	84.449%
12000	779	0.809%	19667	20.428%	9727203	0.978%	830531291	83.512%
13000	660	0.686%	18888	19.618%	8912237	0.896%	820804088	82.534%
14000	643	0.668%	18228	18.933%	9320897	0.937%	811891851	81.638%
15000	620	0.644%	17585	18.265%	9604720	0.966%	802570954	80.700%
16000	550	0.571%	16965	17.621%	9079088	0.913%	792966234	79.735%
17000	553	0.574%	16415	17.050%	9662496	0.972%	783887146	78.822%
18000	489	0.508%	15862	16.475%	9034043	0.908%	774224650	77.850%
19000	447	0.464%	15373	15.967%	8722532	0.877%	765190607	76.942%
20000	502	0.521%	14926	15.503%	10289748	1.035%	756468075	76.065%
21000	449	0.466%	14424	14.982%	9645074	0.970%	746178327	75.030%
22000	370	0.384%	13975	14.515%	8321846	0.837%	736533253	74.060%
23000	422	0.438%	13605	14.131%	9922734	0.998%	728211407	73.223%
24000	386	0.401%	13183	13.693%	9449509	0.950%	718288673	72.226%
25000	368	0.382%	12797	13.292%	9377217	0.943%	708839164	71.275%
26000	351	0.365%	12429	12.910%	9300086	0.935%	699461947	70.333%
27000	380	0.395%	12078	12.545%	10452150	1.051%	690161861	69.397%
28000	348	0.361%	11698	12.150%	9916331	0.997%	679709711	68.346%
29000	354	0.368%	11350	11.789%	10446326	1.050%	669793380	67.349%
30000	330	0.343%	10996	11.421%	10067312	1.012%	659347054	66.299%
31000	320	0.332%	10666	11.078%	10078135	1.013%	649279742	65.287%
32000	287	0.298%	10346	10.746%	9333308	0.938%	639201607	64.273%
33000	274	0.285%	10059	10.448%	9182095	0.923%	629868299	63.335%
34000	315	0.327%	9785	10.163%	10874289	1.093%	620686204	62.411%
35000	273	0.284%	9470	9.836%	9686955	0.974%	609811915	61.318%
36000	286	0.297%	9197	9.553%	10444892	1.050%	600124960	60.344%
37000	253	0.263%	8911	9.256%	9488316	0.954%	589680068	59.294%
38000	238	0.247%	8658	8.993%	9165546	0.922%	580191752	58.340%
39000	235	0.244%	8420	8.746%	9283261	0.933%	571026206	57.418%
40000	262	0.272%	8185	8.502%	10616410	1.068%	561742945	56.485%
41000	250	0.260%	7923	8.229%	10377353	1.043%	551126535	55.417%
42000	228	0.237%	7673	7.970%	9688382	0.974%	540749182	54.374%
43000	221	0.230%	7445	7.733%	9615132	0.967%	531060800	53.399%
44000	211	0.219%	7224	7.503%	9388030	0.944%	521445668	52.433%
45000	204	0.212%	7013	7.284%	9280365	0.933%	512057638	51.489%
46000	200	0.208%	6809	7.072%	9301276	0.935%	502777273	50.555%
