#Reads:	3383930
#Bases:	63970329624
#Max:	151906
#Min:	50
#Avg:	18904.2
#Median:	13000
#Mode:	0
#Std_Dev:	17347.7
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
79000	1583	0.047%	14315	0.423%	125838215	0.197%	1234177747	1.929%
80000	1490	0.044%	12732	0.376%	119910668	0.187%	1108339532	1.733%
81000	1304	0.039%	11242	0.332%	106265079	0.166%	988428864	1.545%
82000	1217	0.036%	9938	0.294%	100400768	0.157%	882163785	1.379%
83000	1022	0.030%	8721	0.258%	85322855	0.133%	781763017	1.222%
84000	1041	0.031%	7699	0.228%	87970202	0.138%	696440162	1.089%
85000	839	0.025%	6658	0.197%	71722026	0.112%	608469960	0.951%
86000	751	0.022%	5819	0.172%	64955928	0.102%	536747934	0.839%
87000	678	0.020%	5068	0.150%	59320883	0.093%	471792006	0.738%
88000	585	0.017%	4390	0.130%	51766674	0.081%	412471123	0.645%
89000	535	0.016%	3805	0.112%	47884542	0.075%	360704449	0.564%
90000	495	0.015%	3270	0.097%	44796362	0.070%	312819907	0.489%
91000	422	0.012%	2775	0.082%	38613963	0.060%	268023545	0.419%
92000	393	0.012%	2353	0.070%	36350834	0.057%	229409582	0.359%
93000	300	0.009%	1960	0.058%	28045219	0.044%	193058748	0.302%
94000	249	0.007%	1660	0.049%	23525147	0.037%	165013529	0.258%
95000	215	0.006%	1411	0.042%	20525928	0.032%	141488382	0.221%
96000	190	0.006%	1196	0.035%	18328437	0.029%	120962454	0.189%
97000	181	0.005%	1006	0.030%	17644405	0.028%	102634017	0.160%
98000	124	0.004%	825	0.024%	12214775	0.019%	84989612	0.133%
99000	113	0.003%	701	0.021%	11243668	0.018%	72774837	0.114%
100000	106	0.003%	588	0.017%	10647201	0.017%	61531169	0.096%
101000	111	0.003%	482	0.014%	11265502	0.018%	50883968	0.080%
102000	49	0.001%	371	0.011%	5022905	0.008%	39618466	0.062%
103000	70	0.002%	322	0.010%	7246820	0.011%	34595561	0.054%
104000	44	0.001%	252	0.007%	4597137	0.007%	27348741	0.043%
105000	48	0.001%	208	0.006%	5064865	0.008%	22751604	0.036%
106000	44	0.001%	160	0.005%	4685496	0.007%	17686739	0.028%
107000	24	0.001%	116	0.003%	2581117	0.004%	13001243	0.020%
108000	21	0.001%	92	0.003%	2277474	0.004%	10420126	0.016%
109000	13	0.000%	71	0.002%	1424279	0.002%	8142652	0.013%
110000	13	0.000%	58	0.002%	1436160	0.002%	6718373	0.011%
111000	7	0.000%	45	0.001%	780857	0.001%	5282213	0.008%
112000	8	0.000%	38	0.001%	899179	0.001%	4501356	0.007%
113000	3	0.000%	30	0.001%	341157	0.001%	3602177	0.006%
114000	6	0.000%	27	0.001%	687534	0.001%	3261020	0.005%
115000	3	0.000%	21	0.001%	345938	0.001%	2573486	0.004%
116000	2	0.000%	18	0.001%	233326	0.000%	2227548	0.003%
117000	2	0.000%	16	0.000%	235068	0.000%	1994222	0.003%
118000	4	0.000%	14	0.000%	473482	0.001%	1759154	0.003%
120000	1	0.000%	10	0.000%	120277	0.000%	1285672	0.002%
121000	2	0.000%	9	0.000%	242608	0.000%	1165395	0.002%
122000	3	0.000%	7	0.000%	367604	0.001%	922787	0.001%
127000	1	0.000%	4	0.000%	127292	0.000%	555183	0.001%
134000	1	0.000%	3	0.000%	134001	0.000%	427891	0.001%
141000	1	0.000%	2	0.000%	141984	0.000%	293890	0.000%
151000	1	0.000%	1	0.000%	151906	0.000%	151906	0.000%
