#Reads:	26079
#Bases:	235799893
#Max:	226030
#Min:	1
#Avg:	9041.8
#Median:	4000
#Mode:	0
#Std_Dev:	14294.2
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
86000	7	0.027%	159	0.610%	606037	0.257%	17532389	7.435%
87000	9	0.035%	152	0.583%	785650	0.333%	16926352	7.178%
88000	9	0.035%	143	0.548%	796428	0.338%	16140702	6.845%
89000	4	0.015%	134	0.514%	357210	0.151%	15344274	6.507%
90000	7	0.027%	130	0.498%	633173	0.269%	14987064	6.356%
91000	4	0.015%	123	0.472%	365226	0.155%	14353891	6.087%
92000	7	0.027%	119	0.456%	648857	0.275%	13988665	5.932%
93000	6	0.023%	112	0.429%	561070	0.238%	13339808	5.657%
94000	4	0.015%	106	0.406%	378256	0.160%	12778738	5.419%
95000	6	0.023%	102	0.391%	573474	0.243%	12400482	5.259%
96000	4	0.015%	96	0.368%	385767	0.164%	11827008	5.016%
97000	4	0.015%	92	0.353%	390199	0.165%	11441241	4.852%
98000	4	0.015%	88	0.337%	392545	0.166%	11051042	4.687%
99000	1	0.004%	84	0.322%	99493	0.042%	10658497	4.520%
100000	1	0.004%	83	0.318%	100992	0.043%	10559004	4.478%
101000	1	0.004%	82	0.314%	101007	0.043%	10458012	4.435%
102000	4	0.015%	81	0.311%	409764	0.174%	10357005	4.392%
103000	2	0.008%	77	0.295%	207355	0.088%	9947241	4.219%
104000	2	0.008%	75	0.288%	208463	0.088%	9739886	4.131%
105000	4	0.015%	73	0.280%	422286	0.179%	9531423	4.042%
107000	2	0.008%	69	0.265%	215419	0.091%	9109137	3.863%
108000	2	0.008%	67	0.257%	216303	0.092%	8893718	3.772%
109000	4	0.015%	65	0.249%	438633	0.186%	8677415	3.680%
110000	1	0.004%	61	0.234%	110281	0.047%	8238782	3.494%
111000	2	0.008%	60	0.230%	222428	0.094%	8128501	3.447%
